Account,ShareOfChargesLOC,ShareOfFXLOC
ABD132714,70.6,15.73
ABD132637,105.27,626.78
ABD131791,105.71,212.63
ABD131791,105.71,212.63
ABD134925,71.7,57.5
ABD134925,71.7,57.5
ABD130668,26.96,83.86
ABD130668,26.96,83.86
ABD136301,89.12,330.62
ABD130800,60.32,-2.43
ABD131009,123.45,49.12
ABD131009,123.45,49.12
ABD130778,92.9,-3.59
ABD130778,92.9,-3.59
ABD131966,100.27,43.13
ABD131966,100.27,43.13
ABD135267,96.59,65.61
ABD135267,96.59,65.61
ABD134189,26.96,29.95
ABD134189,26.96,29.95
ABD137214,40.28,3.65
ABD137214,40.28,3.65
ABD132758,419.18,114.21
ABD132758,419.18,114.21
ABD134057,143.76,121
ABD134057,143.76,121
ABD131878,27.23,58.08
ABD131878,27.23,58.08
ABD131933,35.69,6.1
ABD135058,33.06,57.5
ABD135058,33.06,57.5
ABD130217,66.31,463.63
ABD130217,66.31,463.63
ABD136103,210.54,61.71
ABD135816,88.39,58.08
ABD135816,88.39,58.08
ABD131812,0,-15.6
ABD130459,137.65,-79.07
ABD130459,137.65,-79.07
ABD134958,23.78,33.88
ABD130635,105.09,210.54
ABD135508,27.23,59.29
ABD132583,98.48,9.58
ABD132583,98.48,9.58
ABD135191,74.23,13.31
ABD135487,95.47,13.31
ABD134585,82.56,3.65
ABD132880,96.81,-10.98
ABD136400,65.77,8.39
ABD136400,65.77,8.39
ABD130459,161.91,-10.78
ABD130459,161.91,-10.78
ABD132990,90.75,4.84
ABD130536,136.93,8.39
ABD130536,136.93,8.39
ABD132891,96.2,39.93
ABD132473,66.85,-37.14
ABD132473,66.85,-37.14
ABD131054,188.33,343.83
ABD131054,188.33,343.83
ABD130866,65.06,23.09
ABD133913,258.21,1506.7
ABD130536,143.76,22.76
ABD130536,143.76,22.76
ABD133584,90.75,67.76
ABD132473,90.75,113.74
ABD132473,90.75,113.74
ABD130855,95.86,-52.25
ABD136192,64.7,359.64
ABD130668,98.48,5.99
ABD134518,332.28,775.2
ABD131801,98.23,105.71
ABD130790,24.3,313.2
ABD131504,182.25,54.68
ABD135795,145.8,181.04
ABD135795,145.8,181.04
ABD131119,109.62,267.15
ABD131119,109.62,267.15
ABD130921,26.96,29.95
ABD130921,26.96,29.95
ABD131889,27.34,72.9
ABD131889,27.34,72.9
ABD133979,262.81,1541.54
ABD133979,262.81,1541.54
ABD133704,143.76,89.85
ABD133704,143.76,89.85
ABD131119,182.25,27.95
ABD131197,87.33,13.18
ABD131197,87.33,13.18
ABD131328,87.33,22.76
ABD131328,87.33,22.76
ABD134123,23.58,27.6
ABD130493,0,59.29
ABD130239,71.7,52.71
ABD130239,71.7,52.71
ABD130185,27.23,52.03
ABD130185,27.23,52.03
ABD130888,95.65,-1.21
ABD130657,75.65,-15.57
ABD130657,75.65,-15.57
ABD136785,74.18,23.09
ABD130262,143.76,311.48
ABD130262,143.76,311.48
ABD131021,0,163.48
ABD132989,26.96,37.14
ABD132989,26.96,37.14
ABD132253,16.17,17.97
ABD132253,16.17,17.97
ABD132406,182.25,911.25
ABD130602,105.27,314.6
ABD130602,105.27,314.6
ABD134398,27.23,38.72
ABD134398,27.23,38.72
ABD132099,104.79,308.61
ABD135618,92.22,6.08
ABD135618,92.22,6.08
ABD131339,0,190.76
ABD131339,0,190.76
ABD133913,23.78,26.62
ABD135894,181.5,342.43
ABD131977,88.76,66.83
ABD131977,88.76,66.83
ABD130107,183,90.28
ABD134574,70.79,752.62
ABD130262,44.57,44.33
ABD134826,91.13,9.72
ABD134826,91.13,9.72
ABD134596,23.97,3.66
ABD131296,104.06,60.75
ABD133661,67.57,111.41
ABD133661,67.57,111.41
