Account,ShareOfChargesLOC,ShareOfFXLOC
ABD135256,63.54,22.8
ABD132583,181.5,53.24
ABD132583,181.5,53.24
ABD130316,99.46,1.21
ABD130558,72.9,58.32
ABD130558,72.9,58.32
ABD135629,71.7,99.43
ABD135629,71.7,99.43
ABD134332,105.52,111.78
ABD134332,105.52,111.78
ABD130459,137.11,-110.22
ABD130459,137.11,-110.22
ABD132693,112.13,-34.74
ABD132693,112.13,-34.74
ABD132583,23.89,54.72
ABD134981,74.42,13.38
ABD134079,260.25,1507.82
ABD134079,260.25,1507.82
ABD132231,266.85,1195.6
ABD132231,266.85,1195.6
ABD130569,105.27,199.65
ABD130569,105.27,199.65
ABD134529,0,24.2
ABD131373,94.74,-22.99
ABD133474,91.13,27.95
ABD134585,145.12,-52.46
ABD134727,73.5,27.55
ABD134727,73.5,27.55
ABD134585,138.69,-29.16
ABD134585,138.69,-29.16
ABD135322,91.5,114.68
ABD131944,27.23,18.15
ABD131537,16.17,1.2
ABD131537,16.17,1.2
ABD134013,99.46,124.63
ABD134541,26.96,34.74
ABD134541,26.96,34.74
ABD132121,27.23,66.55
ABD131780,145.8,57.11
ABD134057,71.7,-11.98
ABD134057,71.7,-11.98
ABD132956,26.96,63.49
ABD132956,26.96,63.49
ABD131032,96.62,-4.88
ABD136037,75.47,-3.59
ABD136037,75.47,-3.59
ABD133111,27.34,72.9
ABD133111,27.34,72.9
ABD136499,27.23,37.51
ABD133528,414.93,371.38
ABD133528,414.93,371.38
ABD132626,105.27,395.67
ABD131669,99.46,7.26
ABD131669,99.46,7.26
ABD131021,46.84,91.13
ABD131021,46.84,91.13
ABD133737,23.87,37.67
ABD131263,16.17,5.99
ABD131263,16.17,5.99
ABD131724,272.25,249.26
ABD131724,272.25,249.26
ABD131197,23.97,37.82
ABD132439,160.47,5.99
ABD132439,160.47,5.99
ABD132604,23.78,82.28
ABD130349,158.45,48.4
ABD130349,158.45,48.4
ABD135234,125.79,19.17
ABD135234,125.79,19.17
ABD133979,125.79,10.78
ABD133979,125.79,10.78
ABD134156,51.79,0
ABD131757,26.96,35.94
ABD131757,26.96,35.94
ABD132165,98.48,4.79
ABD132165,98.48,4.79
ABD132714,260.07,1516.32
ABD132714,260.07,1516.32
ABD131021,26.96,146.16
ABD131021,26.96,146.16
ABD130855,81.72,-20.4
ABD135542,37.03,-35.09
ABD131933,85,7.19
ABD131933,85,7.19
ABD136125,82.66,26.36
ABD136125,82.66,26.36
ABD133551,73.32,27.55
ABD133551,73.32,27.55
ABD132824,0,31.59
ABD131889,0,48.4
ABD131933,31.11,8.54
ABD133715,90.75,6.05
ABD133715,90.75,6.05
ABD132484,72.6,105.27
ABD132484,72.6,105.27
ABD130800,72.9,47.39
ABD130800,72.9,47.39
ABD134321,74.23,53.24
ABD130800,26.96,29.95
ABD130800,26.96,29.95
ABD130075,27.23,85.91
ABD130558,23.87,155.52
ABD134552,943.8,1052.7
ABD130811,23.87,159.17
ABD131559,145.8,66.83
ABD132846,257.85,1410.32
ABD133045,168.74,83.86
ABD133045,168.74,83.86
ABD131515,105.27,62.92
ABD130910,139.09,195.27
ABD130910,139.09,195.27
ABD131241,26.96,33.54
ABD131241,26.96,33.54
ABD130426,74.66,9.76
ABD134716,105.52,89.91
ABD131537,60.87,0
ABD131537,60.87,0
ABD131131,74.78,1.22
ABD131779,72.9,59.54
ABD134332,97.32,53.46
ABD134376,104.05,194.08
ABD134376,104.05,194.08
ABD130909,26.96,31.15
ABD130909,26.96,31.15
ABD132484,25.7,52.25
ABD132484,25.7,52.25
ABD130800,76.01,-5.99
ABD130800,76.01,-5.99
ABD132484,72.6,58.08
ABD132484,72.6,58.08
ABD130921,63.43,17.97
ABD130921,63.43,17.97
ABD130415,125.79,15.57
ABD130415,125.79,15.57
ABD136949,127.05,12.1
ABD135212,104.05,325.86
ABD135212,104.05,325.86
ABD132109,265.6,1549.01
ABD132109,265.6,1549.01
ABD134332,74.66,30.5
ABD132484,26.96,61.1
ABD132484,26.96,61.1
ABD134222,179.7,59.9
ABD134222,179.7,59.9
ABD134376,110.9,-4.84
ABD134376,110.9,-4.84
ABD132561,96.01,35.09
ABD130075,26.96,43.13
ABD130075,26.96,43.13
ABD130668,0,38.88
ABD132550,26.96,17.97
ABD132550,26.96,17.97
ABD132231,16.4,27.95
ABD132231,16.4,27.95
ABD134893,57.68,59.9
ABD134893,57.68,59.9
ABD131339,89.85,26.36
ABD130558,105.27,114.95
ABD130558,105.27,114.95
ABD132495,23.58,7.2
ABD133243,71.7,62.3
ABD133243,71.7,62.3
ABD134408,26.96,38.34
ABD134408,26.96,38.34
ABD131735,59.05,1.22
ABD131735,59.05,1.22
ABD133793,143.76,46.72
ABD133793,143.76,46.72
ABD130383,42.29,44.77
ABD130383,42.29,44.77
ABD131119,23.97,52.46
ABD134321,91.49,15.8
ABD134321,91.49,15.8
ABD133463,72.9,64.4
ABD135168,128.1,18.3
ABD131944,780.27,536.03
ABD130426,89.12,-6.05
ABD136345,263.26,1154.87
ABD136345,263.26,1154.87
ABD132484,26.96,50.32
ABD132484,26.96,50.32
ABD130503,88.76,54.68
ABD130581,74.36,9.72
ABD130581,74.36,9.72
ABD136950,64.33,41.31
ABD136950,64.33,41.31
ABD132495,99.87,125.15
ABD131230,87.33,209.65
ABD131230,87.33,209.65
ABD135508,73.51,20.57
ABD135508,73.51,20.57
ABD133870,88.39,193.6
ABD133870,88.39,193.6
ABD134925,105.52,102.06
ABD134925,105.52,102.06
ABD131999,88.76,47.39
ABD131999,88.76,47.39
ABD133232,88.39,569.91
ABD136828,23.89,32.83
ABD131669,105.52,18.23
ABD131669,105.52,18.23
ABD131845,71.7,41.93
ABD131845,71.7,41.93
ABD130822,72.6,111.32
ABD130822,72.6,111.32
ABD131779,26.96,93.44
ABD131779,26.96,93.44
ABD131241,104.05,150.95
ABD131241,104.05,150.95
ABD134727,62.8,18.15
ABD136950,0,119.79
ABD132000,90.75,67.76
ABD132000,90.75,67.76
ABD133935,127.58,27.95
ABD134190,119.74,-10.94
ABD130932,26.96,37.14
ABD130932,26.96,37.14
ABD132253,258.58,1516.46
ABD130361,21.23,-30.5
ABD133980,26.96,412.11
ABD133980,26.96,412.11
ABD134178,71.7,52.71
ABD134178,71.7,52.71
ABD134398,105.71,168.89
ABD137148,145.8,18.23
ABD137148,145.8,18.23
ABD136488,0,140.94
ABD136488,0,140.94
ABD131362,265.06,1527.45
ABD131362,265.06,1527.45
ABD134013,154.82,85.91
ABD130943,0,60.75
ABD135948,38.28,122.2
ABD135948,38.28,122.2
ABD135641,272.25,54.45
ABD130459,160.65,1.2
ABD130459,160.65,1.2
ABD130910,177.33,106.92
ABD130910,177.33,106.92
ABD134024,146.47,-85.91
ABD131119,108.36,316.27
ABD131119,108.36,316.27
ABD131043,88.76,117.86
ABD130262,25.7,26.73
ABD130262,25.7,26.73
ABD136301,26.96,67.09
ABD136301,26.96,67.09
ABD132484,26.96,67.09
ABD132484,26.96,67.09
ABD133957,123.45,11.98
ABD133957,123.45,11.98
ABD131373,104.05,122.2
ABD131373,104.05,122.2
ABD132516,98.48,14.38
ABD132516,98.48,14.38
ABD131142,44.46,124.8
ABD136949,64.07,38.72
ABD134420,72.6,123.42
ABD134420,72.6,123.42
ABD136224,66.06,168.36
ABD133991,64.51,7.19
ABD130383,33.84,0
ABD130668,72.9,64.4
ABD130691,103.87,324.66
ABD130691,103.87,324.66
ABD134046,181.5,54.45
ABD130932,23.89,35.26
ABD132208,263.8,1538.23
ABD132208,263.8,1538.23
ABD131768,145.8,76.55
ABD131768,145.8,76.55
ABD130558,104.05,49.12
ABD130558,104.05,49.12
ABD131867,143.76,122.2
ABD131867,143.76,122.2
ABD134606,177,915.27
ABD134606,177,915.27
ABD133111,23.78,56.87
ABD135553,27.34,19.44
ABD135553,27.34,19.44
ABD132769,94.59,37.67
ABD133924,96.92,33.88
ABD130800,104.05,62.3
ABD130800,104.05,62.3
ABD131461,72.9,48.6
ABD130921,119.5,16.77
ABD130921,119.5,16.77
ABD130316,23.97,650.26
ABD130822,63.43,38.34
ABD130822,63.43,38.34
ABD133528,26.96,3.59
ABD133528,26.96,3.59
ABD134684,0,17.01
ABD134684,0,17.01
ABD134925,181.5,111.32
ABD130855,102.61,-17.01
ABD133485,54.86,216.27
ABD132484,23.78,26.62
ABD133683,71.7,95.84
ABD133683,71.7,95.84
ABD130273,66.61,-2.44
ABD133210,127.41,-8.39
ABD133210,127.41,-8.39
ABD131241,0,54.68
ABD132484,71.7,40.73
ABD132484,71.7,40.73
ABD136620,89.12,193.98
ABD133737,88.39,110.11
ABD133737,88.39,110.11
ABD130459,161.01,-100.63
ABD130459,161.01,-100.63
ABD132583,181.5,48.4
ABD132583,181.5,48.4
ABD133870,94.22,23.09
ABD132626,0,35.24
ABD132495,143.76,38.34
ABD132495,143.76,38.34
ABD130811,88.39,105.27
ABD130822,23.78,0
ABD130570,52.29,430.08
ABD130570,52.29,430.08
ABD134541,78.17,-2.4
ABD134541,78.17,-2.4
ABD131977,143.61,-31.59
ABD131977,143.61,-31.59
ABD130206,91.85,13.37
ABD130206,91.85,13.37
ABD134024,23.78,42.35
ABD130932,72.6,66.55
ABD132978,105.71,193.19
ABD132978,105.71,193.19
ABD131230,127.58,26.73
ABD132154,88.39,352.11
ABD132154,88.39,352.11
ABD132846,169.16,511.83
ABD133661,23.87,10.94
ABD134277,0,53.24
ABD130404,88.39,100.43
ABD130701,105.71,421.61
ABD133474,138.87,-24.3
ABD131119,26.96,28.75
ABD133265,58.32,37.67
ABD130932,27.23,81.07
ABD130932,27.23,81.07
ABD133407,72.6,76.23
ABD133407,72.6,76.23
ABD130646,127.05,8.47
ABD130646,127.05,8.47
ABD134639,27.23,50.82
ABD134639,27.23,50.82
ABD137038,154.37,236.93
ABD137038,154.37,236.93
ABD133474,539.1,251.58
ABD133474,539.1,251.58
ABD135816,119.92,17.01
ABD135816,119.92,17.01
ABD130800,73.86,-7.19
ABD130800,73.86,-7.19
ABD131669,104.05,75.47
ABD131669,104.05,75.47
ABD133584,66.85,-2.4
ABD133584,66.85,-2.4
ABD132187,25.7,76.55
ABD132187,25.7,76.55
ABD137324,0,77.76
ABD130075,0,54.45
ABD131791,46.54,15.57
ABD131791,46.54,15.57
ABD131241,0,12.15
ABD130800,105.27,131.89
ABD131427,105.27,101.64
ABD130493,56.27,64.13
ABD133650,258.43,1037.61
ABD131944,96.62,-10.98
ABD136785,73.32,2.4
ABD136785,73.32,2.4
ABD130866,99.37,3608.76
ABD137478,73.2,45.14
ABD132088,48.34,3.59
ABD132088,48.34,3.59
ABD130921,72,56.4
ABD131010,73.99,2.43
ABD131010,73.99,2.43
ABD134222,83.02,99.43
ABD134222,83.02,99.43
ABD131241,64.33,7.29
ABD130536,95.29,128.26
ABD133308,90.75,21.78
ABD136280,71.88,70.68
ABD136280,71.88,70.68
ABD136060,51.58,13.37
ABD133232,25.7,74.12
ABD133232,25.7,74.12
ABD130239,26.96,37.14
ABD130239,26.96,37.14
ABD135739,105.52,63.18
ABD135739,105.52,63.18
ABD130800,73.5,2.4
ABD130800,73.5,2.4
ABD136103,89.85,37.14
ABD136103,89.85,37.14
ABD130228,163.89,0
ABD130228,163.89,0
ABD134288,26.96,50.32
ABD134288,26.96,50.32
ABD132318,88.39,59.29
ABD132318,88.39,59.29
ABD131713,23.78,64.13
ABD133737,73.51,25.41
ABD132495,23.97,75.64
ABD135982,125.79,23.96
ABD135982,125.79,23.96
ABD134080,74.36,9.72
ABD134080,74.36,9.72
ABD130206,211.91,63.44
ABD130569,88.76,270.95
ABD132109,259.34,1197.99
ABD130932,26.96,69.48
ABD130932,26.96,69.48
ABD133133,73.14,43.13
ABD133133,73.14,43.13
ABD130657,258.98,1501.74
ABD130833,169.49,416.75
ABD134013,95.86,-3.65
ABD131526,127.58,13.37
ABD130514,90.75,56.87
ABD132725,177.88,-58.32
ABD134222,84.2,100.85
ABD134024,23.97,17.08
ABD133441,75.32,20.57
ABD133441,75.32,20.57
ABD130459,134.95,-58.7
ABD130459,134.95,-58.7
ABD131032,20.96,210.2
ABD131032,20.96,210.2
ABD132561,91.13,66.83
ABD132561,91.13,66.83
ABD133715,75.03,9.76
ABD134585,146.03,-71.98
ABD134387,706.75,2552.24
ABD131582,73.44,4.8
ABD133737,73.5,13.18
ABD133737,73.5,13.18
ABD130965,104.05,62.3
ABD130965,104.05,62.3
ABD131812,40.79,1.2
ABD131812,40.79,1.2
ABD130459,157.24,-97.04
ABD130459,157.24,-97.04
ABD131636,328.32,609.22
ABD130217,253.17,1477.44
ABD132077,90.93,2.4
ABD132077,90.93,2.4
ABD133870,125.21,38.88
ABD135827,87.33,190.48
ABD135827,87.33,190.48
ABD135508,104.05,610.98
ABD135508,104.05,610.98
ABD131791,94.88,-2.4
ABD131791,94.88,-2.4
ABD132099,105.41,1.22
ABD134112,0,13.31
ABD133386,400.04,19.52
ABD132978,373.69,230.58
ABD136554,72.6,52.03
ABD134673,0,101.26
ABD131317,25.7,128.79
ABD131317,25.7,128.79
ABD133100,27.23,154.88
ABD133100,27.23,154.88
ABD135849,147.06,118.8
ABD133463,56.96,0
ABD133463,56.96,0
ABD130053,73.14,7.19
ABD130053,73.14,7.19
ABD135289,64.07,26.62
ABD135289,64.07,26.62
ABD131911,145.2,94.38
ABD131911,145.2,94.38
ABD133528,0,24.3
ABD134464,72.96,-1.2
ABD134464,72.96,-1.2
ABD132648,23.87,37.67
ABD130031,91.13,15.8
ABD130031,91.13,15.8
ABD130646,23.87,18.23
ABD134408,0,180.29
ABD135795,26.96,143.76
ABD135795,26.96,143.76
ABD130239,274.61,242
ABD130514,262.72,1540.63
ABD130514,262.72,1540.63
ABD130240,26.96,81.46
ABD130240,26.96,81.46
ABD131274,27.23,174.24
ABD131274,27.23,174.24
ABD130909,104.05,251.58
ABD130909,104.05,251.58
ABD130514,252.83,1474.99
ABD130888,62.8,2.42
ABD130888,62.8,2.42
ABD132462,139.97,228.42
ABD134738,26.96,50.32
ABD134738,26.96,50.32
ABD134002,63.97,89.91
ABD131032,72.9,223.56
ABD130239,149.69,110.22
ABD132703,328.05,89.91
ABD131669,104.05,61.1
ABD131669,104.05,61.1
ABD134190,136.69,80.19
ABD130899,0,35.24
ABD134518,99.46,9.68
ABD133540,79.83,2.43
ABD133540,79.83,2.43
ABD132989,145.62,-82.62
ABD131779,99.87,14.58
ABD133474,91.47,-11.98
ABD133474,91.47,-11.98
ABD130723,143.4,27.55
ABD130723,143.4,27.55
ABD136729,23.97,67.1
ABD130734,60.02,16.77
ABD130734,60.02,16.77
ABD131670,26.96,76.67
ABD131670,26.96,76.67
ABD134871,91.11,-2.42
ABD134871,91.11,-2.42
ABD136543,27.23,19.36
ABD136543,27.23,19.36
ABD132967,141.42,146.16
ABD132967,141.42,146.16
ABD134804,143.76,71.88
ABD134804,143.76,71.88
ABD133661,72.78,3.59
ABD133661,72.78,3.59
ABD132187,592.83,530.71
ABD132187,592.83,530.71
ABD130965,96.44,-6.1
ABD133825,63.43,33.54
ABD133825,63.43,33.54
ABD131405,58.38,6.1
ABD133133,23.97,109.8
ABD132846,262.36,1263.89
ABD132846,262.36,1263.89
ABD134046,88.57,159.17
ABD134046,88.57,159.17
ABD130459,92.93,-7.26
ABD132660,75.83,-44.33
ABD132660,75.83,-44.33
ABD135618,73.51,7.26
ABD135618,73.51,7.26
ABD131120,116.89,123.42
ABD130756,27.23,24.2
ABD130756,27.23,24.2
ABD131054,1048.71,842.16
ABD131054,1048.71,842.16
ABD135223,98.48,0
ABD135223,98.48,0
ABD132385,143.76,64.69
ABD132385,143.76,64.69
ABD135641,27.23,32.67
ABD133265,179.7,171.31
ABD133265,179.7,171.31
ABD134530,73.32,76.67
ABD134530,73.32,76.67
ABD131878,128.1,7.32
ABD134420,23.78,134.31
ABD133737,137.25,201.3
ABD133870,184.4,1130.14
ABD130206,105.09,95.59
ABD134387,73.32,10.78
ABD134387,73.32,10.78
ABD133243,82.76,0
ABD130691,0,121
ABD134123,72.6,67.76
ABD133661,104.4,67.2
ABD134068,88.95,9.58
ABD134068,88.95,9.58
ABD130602,23.78,3.63
ABD130503,125.25,57.5
ABD130503,125.25,57.5
ABD131032,62.72,20.37
ABD131032,62.72,20.37
ABD134772,0,60.75
ABD130822,26.96,50.32
ABD132990,672.68,588.06
ABD137599,105.27,458.59
ABD132879,91.13,113
ABD134408,106.14,407.48
ABD130075,73.2,156.16
ABD134080,0,19.36
ABD134981,135.41,-6.08
ABD134981,135.41,-6.08
ABD134408,23.97,12.2
ABD130316,26.96,38.34
ABD130316,26.96,38.34
ABD133232,90.94,64.4
ABD133232,90.94,64.4
ABD137467,81.36,-14.4
ABD130316,185.71,379.08
ABD134848,124.69,31.46
ABD134848,124.69,31.46
ABD132484,27.23,128.26
ABD132484,27.23,128.26
ABD131197,72.72,48.6
ABD131197,72.72,48.6
ABD134507,592.83,530.71
ABD134507,592.83,530.71
ABD133771,47.4,73.2
ABD133980,104.05,61.1
ABD133980,104.05,61.1
ABD131384,235.95,211.75
ABD136806,0,130.01
ABD136806,0,130.01
ABD132637,0,70.47
ABD132637,0,70.47
ABD131373,104.23,240.8
ABD131373,104.23,240.8
ABD136521,77.45,-20.37
ABD136521,77.45,-20.37
ABD132187,146.47,98.01
ABD132406,92.04,122.72
ABD134398,23.87,72.9
ABD133968,182.25,125.15
ABD133968,182.25,125.15
ABD130217,87.33,334.24
ABD130217,87.33,334.24
ABD133012,72.9,48.6
ABD133012,72.9,48.6
ABD133429,40.26,-2.44
ABD134585,143.8,-30.38
ABD134585,143.8,-30.38
ABD130338,194.57,-18.15
ABD130338,194.57,-18.15
ABD133649,139.27,-11.98
ABD133649,139.27,-11.98
ABD131593,75.03,4.88
ABD132297,23.97,140.3
ABD130273,167.16,-24.2
ABD136653,105.27,205.7
ABD130349,104.23,75.47
ABD130349,104.23,75.47
ABD131119,26.96,190.48
ABD131119,26.96,190.48
ABD134310,123.63,483.99
ABD134310,123.63,483.99
ABD133979,57.68,11.98
ABD133979,57.68,11.98
ABD130415,26.96,35.94
ABD130415,26.96,35.94
ABD130217,88.76,533.39
ABD132121,23.58,37.2
ABD134914,999,4204.8
ABD135289,161.73,107.82
ABD135289,161.73,107.82
ABD131043,26.96,58.7
ABD131043,26.96,58.7
ABD136444,88.39,56.87
ABD136444,88.39,56.87
ABD130691,54.45,246.79
ABD130691,54.45,246.79
ABD131823,104.23,194.08
ABD132769,23.87,52.25
ABD132550,153.28,22.76
ABD132550,153.28,22.76
ABD133980,105.27,205.7
ABD133980,105.27,205.7
ABD130239,168.61,71.39
ABD130239,168.61,71.39
ABD136257,23.78,123.42
ABD134518,340.54,897.41
ABD134772,105.71,132.44
ABD130909,27.23,30.25
ABD133979,121.01,-7.29
ABD130262,105.52,142.16
ABD130262,105.52,142.16
ABD130624,146.11,-7.26
ABD137148,105.71,407.03
ABD134266,0,36.3
ABD134541,71.7,46.72
ABD134541,71.7,46.72
ABD130350,23.78,58.08
ABD130459,133.7,-136.57
ABD130459,133.7,-136.57
ABD132572,91.85,4.86
ABD132572,91.85,4.86
ABD131768,199.38,0
ABD133793,123.45,13.18
ABD133793,123.45,13.18
ABD130086,88.76,154.31
ABD130855,27.23,268.62
ABD130855,27.23,268.62
ABD130558,23.58,50.4
ABD134518,71.7,152.15
ABD134518,71.7,152.15
ABD130822,71.7,62.3
ABD130822,71.7,62.3
ABD132615,87.33,524.72
ABD132615,87.33,524.72
ABD134541,72.6,47.19
ABD130383,87.33,53.91
ABD130383,87.33,53.91
ABD132703,26.96,233.61
ABD132703,26.96,233.61
ABD134541,27.34,46.17
ABD134541,27.34,46.17
ABD132220,23.87,51.03
ABD131779,72.9,25.52
ABD133957,27.23,106.48
ABD133957,27.23,106.48
ABD134563,26.96,49.12
ABD134563,26.96,49.12
ABD130965,105.09,128.26
ABD137038,23.78,49.61
ABD131955,26.96,14.38
ABD131955,26.96,14.38
ABD135278,1513.96,1248.06
ABD131054,125.24,20.57
ABD130921,26.96,140.17
ABD130921,26.96,140.17
ABD134156,72.06,7.19
ABD134156,72.06,7.19
ABD132099,88.76,37.67
ABD134288,90.58,14.58
ABD134288,90.58,14.58
ABD131405,107.82,77.87
ABD131405,107.82,77.87
ABD131339,26.96,170.12
ABD131339,26.96,170.12
ABD130691,105.27,142.78
ABD132385,260.74,1521.46
ABD132385,260.74,1521.46
ABD133364,66.98,58.56
ABD131274,179.7,53.91
ABD131274,179.7,53.91
ABD132484,0,42.35
ABD135861,783.49,538.25
ABD135861,783.49,538.25
ABD133528,0,47.42
ABD137225,99.87,3.65
ABD137225,99.87,3.65
ABD134541,23.97,86.62
ABD134266,104.05,158.14
ABD134266,104.05,158.14
ABD130932,23.78,50.82
ABD131735,105.71,194.4
ABD131922,111.99,-21.78
ABD131922,111.99,-21.78
ABD136181,268.29,600.2
ABD136181,268.29,600.2
ABD134804,128.1,17.08
ABD132484,23.78,59.29
ABD134738,0,175.68
ABD135641,43.49,1.2
ABD135641,43.49,1.2
ABD130503,72.9,47.39
ABD134738,265.78,166.52
ABD134738,265.78,166.52
ABD133913,26.96,165.32
ABD133913,26.96,165.32
ABD132220,26.96,65.89
ABD132220,26.96,65.89
ABD131021,99.46,1.21
ABD131021,99.46,1.21
ABD131373,104.05,95.84
ABD131373,104.05,95.84
ABD132109,257.85,1504.26
ABD135234,91.13,40.1
ABD134024,74.42,6.05
ABD134662,105.09,76.23
ABD134662,105.09,76.23
ABD137566,105.96,101.26
ABD136697,100.28,3.66
ABD134123,71.7,4.79
ABD134123,71.7,4.79
ABD130350,23.78,22.99
ABD132000,59.48,156.16
ABD134310,143.76,82.66
ABD134310,143.76,82.66
ABD131120,98.48,7.19
ABD131120,98.48,7.19
ABD132703,23.78,10.89
ABD131999,26.96,38.34
ABD131999,26.96,38.34
ABD132549,0,32.81
ABD130064,0,108.14
ABD132604,72.78,27.55
ABD132604,72.78,27.55
ABD134002,73.2,58.56
ABD132615,0,76.23
ABD134925,98.48,63.49
ABD134925,98.48,63.49
ABD130855,52.11,137.77
ABD130855,52.11,137.77
ABD134925,23.97,34.16
ABD133517,173.77,-117.4
ABD133517,173.77,-117.4
ABD132484,27.23,45.98
ABD134848,115.73,117.86
ABD134848,115.73,117.86
ABD135289,107.82,50.32
ABD135289,107.82,50.32
ABD131593,129.22,49.82
ABD131593,129.22,49.82
ABD135508,87.33,32.35
ABD135508,87.33,32.35
ABD134716,87.33,152.15
ABD134716,87.33,152.15
ABD130602,105.71,778.82
ABD135630,58.87,18.23
ABD131537,27.34,7.29
ABD131537,27.34,7.29
ABD132835,23.97,214.72
ABD136345,262.63,1513.71
ABD136345,262.63,1513.71
ABD136686,74.54,23.09
ABD133737,73.5,19.17
ABD133737,73.5,19.17
ABD132253,91.13,19.44
ABD132703,97.76,2.4
ABD132703,97.76,2.4
ABD134233,127.58,89.91
ABD135795,104.05,633.74
ABD135795,104.05,633.74
ABD132846,90.94,319.55
ABD132846,90.94,319.55
ABD131483,0,87.12
ABD132484,23.97,51.24
ABD133892,91.48,2.42
ABD132792,27.23,66.55
ABD132792,27.23,66.55
ABD133528,71.7,22.76
ABD133528,71.7,22.76
ABD131395,173.95,678.07
ABD131395,173.95,678.07
ABD131054,27.23,48.4
ABD131054,27.23,48.4
ABD133078,23.78,93.17
ABD135487,23.87,147.02
ABD130921,63.43,43.13
ABD130921,63.43,43.13
ABD137050,125.79,10.78
ABD137050,125.79,10.78
ABD132121,74.54,8.51
ABD133661,104.05,171.31
ABD133661,104.05,171.31
ABD132208,49.42,45.52
ABD132208,49.42,45.52
ABD132187,26.96,50.32
ABD132187,26.96,50.32
ABD130514,100.27,0
ABD130514,100.27,0
ABD132516,72.6,71.39
ABD131988,89.85,55.11
ABD131988,89.85,55.11
ABD132440,223.2,189.6
ABD132109,253.26,1477.2
ABD131647,48.7,20.37
ABD131647,48.7,20.37
ABD132109,253.08,1467.6
ABD130932,105.27,62.92
ABD130932,105.27,62.92
ABD133540,134.78,337.84
ABD133540,134.78,337.84
ABD132099,73.14,2.4
ABD132099,73.14,2.4
ABD132880,73.32,2.4
ABD132880,73.32,2.4
ABD132286,23.78,3.63
ABD134585,143.8,-38.88
ABD134585,143.8,-38.88
ABD133683,90.75,13.31
ABD133397,136.62,-12
ABD131658,73.5,5.99
ABD131658,73.5,5.99
ABD132549,990,180
ABD136390,23.89,35.26
ABD132484,63.43,22.76
ABD132484,63.43,22.76
ABD133683,72.96,5.99
ABD133683,72.96,5.99
ABD132626,73.32,26.36
ABD132626,73.32,26.36
ABD131944,72.6,25.41
ABD131944,72.6,25.41
ABD130239,26.96,33.54
ABD130239,26.96,33.54
ABD130558,23.87,18.23
ABD135234,0,116.16
ABD131692,99.46,3.63
ABD131692,99.46,3.63
ABD130866,281.33,419.87
ABD130866,281.33,419.87
ABD131812,72.96,2.4
ABD131812,72.96,2.4
ABD130987,876.58,167.72
ABD130987,876.58,167.72
ABD131373,26.96,85.06
ABD131373,26.96,85.06
ABD135322,281.33,479.16
ABD136950,119.92,222.35
ABD131878,23.87,58.32
ABD132187,23.87,121.5
ABD130745,47.8,3.59
ABD130745,47.8,3.59
ABD133023,90.75,-13.18
ABD133023,90.75,-13.18
ABD130316,104.91,9.68
ABD131098,48.24,2.4
ABD133375,88.39,59.29
ABD133375,88.39,59.29
ABD135805,72.6,87.12
ABD135805,72.6,87.12
ABD135014,66.76,8.51
ABD135960,137.96,-9.72
ABD135960,137.96,-9.72
ABD131197,65.41,390.55
ABD131197,65.41,390.55
ABD131119,95.34,3.66
ABD130921,74.23,7.26
ABD134068,16.34,3.63
ABD134068,16.34,3.63
ABD133913,99.46,4.84
ABD136279,293.6,-105.71
ABD131218,94.77,53.46
ABD135993,95.86,-4.86
ABD131120,123.45,19.17
ABD131120,123.45,19.17
ABD132659,23.78,105.27
ABD135773,26.96,85.06
ABD135773,26.96,85.06
ABD130624,104.05,91.05
ABD130624,104.05,91.05
ABD136983,145.8,44.96
ABD136983,145.8,44.96
ABD132484,23.97,103.7
ABD131218,729.73,633.02
ABD131218,729.73,633.02
ABD130932,87.33,37.14
ABD130932,87.33,37.14
ABD130152,0,38.88
ABD130910,72.6,106.48
ABD130910,72.6,106.48
ABD130383,76.91,-4.86
ABD130383,76.91,-4.86
ABD134189,89.12,164.7
ABD133573,72.9,72.9
ABD133573,72.9,72.9
ABD132583,23.87,37.67
ABD130350,26.96,136.57
ABD130350,26.96,136.57
ABD131878,127.58,13.37
ABD131878,127.58,13.37
ABD130800,26.96,41.93
ABD130800,26.96,41.93
ABD130239,23.78,102.85
ABD131812,91.47,-3.59
ABD131812,91.47,-3.59
ABD136280,74.42,64.45
ABD130459,91.47,-51.51
ABD130459,91.47,-51.51
ABD130646,72,-127.2
ABD134123,27.23,85.91
ABD134123,27.23,85.91
ABD133913,72.6,47.19
ABD132000,23.87,86.27
ABD130383,86.8,-7.19
ABD130383,86.8,-7.19
ABD131021,26.96,52.71
ABD131021,26.96,52.71
ABD133913,25.7,34.02
ABD133913,25.7,34.02
ABD130206,27.23,89.54
ABD130206,27.23,89.54
ABD134936,74.54,7.29
ABD130383,93.96,-13.2
ABD135124,104.05,283.93
ABD135124,104.05,283.93
ABD132660,191.3,329.12
ABD133528,71,18.3
ABD132484,26.96,17.97
ABD132484,26.96,17.97
ABD133364,134.5,83.84
ABD131197,106.14,325.74
ABD130217,255.51,1490.81
ABD137236,59.6,113
ABD137236,59.6,113
ABD135618,57.68,2.4
ABD135618,57.68,2.4
ABD137049,526.35,152.46
ABD137049,526.35,152.46
ABD136729,141.57,67.76
ABD133605,94.77,-4.86
ABD130217,135.41,-38.88
ABD130217,135.41,-38.88
ABD136774,27.23,47.19
